slug,term,definition,definition_source,definition_checked,aliases,category,notes
temporary-protected-status,Temporary Protected Status,"A federal designation that lets nationals of a named country live and work in the United States for a set period when conditions there — armed conflict, a natural disaster, or another extraordinary event — make safe return impossible. It confers no path to permanent residency, and the Secretary of Homeland Security must periodically decide whether to extend or terminate each country's designation.",https://www.law.cornell.edu/uscode/text/8/1254a,2026-08-10,"[""TPS""]",immigration,"133 corpus articles across 12 outlets as of 2026-08-10. Highly salient: three designations terminated in the three weeks to 15 Aug 2026."
contempt-of-congress,Contempt of Congress,"A finding that someone has obstructed a congressional committee — most often by refusing to appear, testify, or produce subpoenaed documents. A chamber may refer a criminal contempt citation to the Justice Department, which decides independently whether to prosecute; referral is not a charge, and a charge is not a conviction.",https://www.law.cornell.edu/uscode/text/2/192,2026-08-10,[],congress,"5,732 Wikipedia lookups/month. The referral-is-not-a-charge distinction is the one journalism most often blurs."
prior-restraint,Prior Restraint,"Government action that blocks speech or publication before it happens, rather than punishing it afterwards. U.S. courts treat it as the most serious form of speech restriction and presume it unconstitutional, so the government carries a heavy burden to justify any instance of it.",https://www.law.cornell.edu/wex/prior_restraint,2026-08-10,[],first-amendment,"Below the publish floor on title/summary matching (0) but defined in 128 articles' primers — the clearest case of the body-text gap noted in scripts/README.md."
habeas-corpus,Habeas Corpus,"A court order requiring officials holding someone in custody to bring them before a judge and justify the detention. It tests the lawfulness of the detention itself, not the guilt or innocence of the person held.",https://www.law.cornell.edu/wex/habeas_corpus,2026-08-10,"[""writ of habeas corpus""]",courts,"Recurs in immigration-detention and national-security coverage."
redistricting,Redistricting,"Redrawing the boundaries of electoral districts, normally after each decennial census, so that districts hold roughly equal populations. Who draws the lines varies by state — most are drawn by the state legislature, some by an independent or bipartisan commission.",https://www.law.cornell.edu/wex/redistricting,2026-08-17,[],elections,"Highest-volume civic term in the corpus after sanctions."
gerrymandering,Gerrymandering,"Drawing electoral district boundaries to advantage a particular party, incumbent, or group. Two standard techniques are packing opposing voters into a few districts, and cracking them across many districts so they form a majority in none.",https://www.law.cornell.edu/wex/gerrymander,2026-08-17,"[""gerrymander""]",elections,"Cornell's slug is /wex/gerrymander, not /wex/gerrymandering — the latter 404s."
birthright-citizenship,Birthright Citizenship,"Citizenship acquired by being born in the United States. The Fourteenth Amendment's Citizenship Clause provides that all persons born or naturalized in the United States, and subject to its jurisdiction, are citizens both of the United States and of the state where they live.",https://www.law.cornell.edu/constitution/amendmentxiv,2026-08-17,"[""Citizenship Clause""]",constitution,"Actively litigated. The definition states what the clause provides and nothing about how any court should read it."
executive-order,Executive Order,"A written directive from the President to officers and agencies of the executive branch. It carries the force of law only where the President already holds constitutional or statutory authority to act, and a later President can revoke or replace one.",https://www.law.cornell.edu/wex/executive_order,2026-08-17,[],executive,"The 'only where authority already exists' clause is the part coverage usually omits."
executive-privilege,Executive Privilege,"A President's claimed authority to withhold certain communications from Congress or the courts. Courts have treated it as qualified rather than absolute, so a sufficiently strong need for the material can overcome it.",https://www.law.cornell.edu/wex/executive_privilege,2026-08-17,[],executive,""
impeachment,Impeachment,"The House's power to formally charge a federal officeholder with misconduct, by simple majority. The Senate then holds a trial; conviction takes two-thirds and removes the officeholder. Impeachment is the charge, not the removal — the two are routinely conflated.",https://www.law.cornell.edu/wex/impeachment,2026-08-17,[],congress,""
